# ,X,Y
1,66,162
2,108,190
3,138,114
4,178,224
5,148,278
6,199,245
7,242,123
8,363,199
9,360,154
10,413,189
11,392,300
12,355,264
13,426,347
14,392,112
15,556,191
16,588,257
17,457,329
18,439,294
19,439,388
20,466,420
21,487,414
22,454,470
23,428,445
24,402,472
25,342,459
26,368,473
27,404,541
28,338,385
29,300,343
30,384,323
31,374,374
32,550,53
33,475,122
34,601,196
35,176,400
36,210,483
37,264,416
38,247,332
39,49,399
40,120,270
41,118,457
42,117,425
43,105,435
44,550,75
45,467,713
46,505,681
47,500,735
48,467,746
49,230,651
50,232,698
51,251,709
52,604,512
53,89,609
54,95,649
55,385,721
56,337,722
57,350,740
58,528,395
59,547,429
60,532,431
61,507,317
62,500,288
63,653,385
64,484,812
65,474,541
66,476,517
67,498,519
68,239,157
69,154,631
70,145,620
71,235,210
72,185,117
73,533,188
74,428,205
75,496,182
76,366,558
77,443,733
78,59,208
