# ,X,Y
1,16,262
2,62,279
3,84,198
4,143,298
5,119,352
6,168,309
7,198,178
8,331,230
9,323,186
10,376,210
11,367,324
12,328,294
13,403,366
14,349,134
15,522,186
16,558,242
17,431,340
18,413,309
19,417,411
20,452,429
21,471,418
22,444,481
23,416,461
24,392,491
25,330,494
26,359,502
27,401,562
28,319,418
29,277,385
30,361,349
31,358,403
32,506,45
33,433,134
34,570,179
35,160,470
36,203,544
37,250,467
38,225,388
39,26,504
40,90,349
41,109,537
42,106,505
43,96,518
44,505,67
45,480,721
46,517,682
47,516,737
48,485,757
49,239,710
50,242,753
51,262,755
52,597,490
53,89,693
54,96,734
55,400,745
56,348,756
57,362,770
58,511,388
59,535,416
60,519,430
61,482,319
62,475,296
63,638,360
64,509,817
65,469,549
66,474,525
67,494,521
68,199,216
69,161,707
70,146,685
71,201,268
72,136,191
73,499,189
74,394,223
75,456,187
76,364,588
77,458,750
78,13,317
