# ,X,Y
1,144,36
2,157,40
3,97,84
4,90,74
5,100,94
6,111,95
7,80,115
8,83,111
9,65,98
10,206,224
11,60,112
12,46,40
13,53,122
14,38,100
15,127,85
16,104,10
17,126,97
18,140,86
19,165,97
20,253,126
21,143,112
22,31,244
23,134,114
24,11,186
25,126,134
26,77,17
27,131,145
28,120,161
29,175,202
30,104,167
31,85,162
32,89,166
33,87,136
34,13,146
35,97,131
36,55,155
37,62,167
38,52,165
39,95,216
40,108,208
41,142,221
42,131,200
43,167,161
44,158,151
45,190,160
46,150,256
47,140,270
48,178,314
49,197,300
50,225,245
51,234,247
52,243,316
53,258,313
54,307,223
55,108,356
56,66,301
57,238,362
58,213,702
59,233,453
60,284,394
61,196,428
62,195,497
63,205,405
64,220,445
65,209,446
66,250,413
67,260,436
68,132,432
69,226,481
70,233,488
71,204,575
72,191,586
73,200,617
74,251,628
75,249,639
76,207,476
77,117,456
78,155,507
79,134,571
80,324,789
81,336,727
82,252,693
83,237,723
84,286,546
85,324,532
86,346,486
87,287,618
88,289,588
89,308,308
90,326,338
91,342,352
92,329,603
93,263,347
94,346,450
95,356,469
96,336,663
97,229,93
98,271,175
