# ,X,Y
1,178,61
2,193,66
3,122,74
4,116,68
5,126,93
6,137,92
7,97,260
8,102,102
9,84,77
10,217,244
11,73,98
12,78,43
13,66,110
14,57,83
15,157,89
16,139,31
17,156,101
18,172,96
19,198,113
20,261,139
21,174,119
22,26,217
23,160,118
24,14,172
25,143,135
26,115,28
27,153,141
28,143,156
29,188,214
30,121,165
31,94,150
32,100,159
33,101,128
34,28,114
35,118,125
36,63,134
37,69,151
38,54,148
39,93,209
40,114,202
41,146,223
42,137,201
43,189,173
44,175,159
45,215,179
46,149,259
47,134,268
48,169,320
49,195,309
50,232,264
51,245,267
52,250,335
53,265,337
54,324,259
55,88,336
56,55,271
57,229,381
58,155,694
59,206,463
60,285,415
61,167,434
62,135,507
63,181,413
64,193,452
65,183,452
66,233,429
67,244,452
68,106,428
69,199,494
70,210,499
71,159,572
72,137,582
73,151,612
74,200,629
75,199,641
76,173,479
77,88,447
78,110,502
79,87,559
80,265,785
81,276,732
82,198,690
83,178,718
84,249,556
85,290,553
86,329,503
87,236,613
88,236,595
89,313,336
90,330,384
91,345,405
92,281,600
93,269,371
94,335,475
95,342,493
96,285,670
97,247,110
98,289,215
